ID,FLOSS_TYPE_ID,COLOR,NAME,RGB
246,1,826,Blue Medium,#6B9EBF
247,1,827,Blue Very Light,#BDDDED
248,1,828,Sky Blue Very Light,#C5E8ED
249,1,829,Golden Olive Very Dark,#7E6B42
250,1,830,Golden Olive Dark,#8D784B
251,1,831,Golden Olive Medium,#AA8F56
252,1,832,Golden Olive,#BD9B51
253,1,833,Golden Olive Light,#C8AB6C
254,1,834,Golden Olive Very Light,#DBBE7F
255,1,838,Beige Brown Very Dark,#594937
256,1,839,Beige Brown Dark,#675541
257,1,840,Beige Brown Medium,#9A7C5C
258,1,841,Beige Brown Light,#B69B7E
259,1,842,Beige Brown Very Light,#D1BAA1
260,1,844,Beaver Gray Ultra Dark,#484848
261,1,869,Hazelnut Brown Very Dark,#835E39
262,1,890,Pistachio Grn Ultra Very Dark,#184923
263,1,891,Carnation Dark,#FF5773
264,1,892,Carnation Medium,#FF798C
265,1,893,Carnation Light,#FC90A2
266,1,894,Carnation Very Light,#FFB2BB
267,1,895,Hunter Green Very Dark,#1B5300
268,1,898,Coffee Brown Very Dark,#492A13
269,1,899,Rose Medium,#F27688
270,1,900,Burnt Orange Dark,#D15807
271,1,902,Garnet Very Dark,#822637
272,1,904,Parrot Green Very Dark,#557822
273,1,905,Parrot Green Dark,#628A28
274,1,906,Parrot Green Medium,#7FB335
275,1,907,Parrot Green Light,#C7E666
276,1,909,Emerald Green Very Dark,#156F49
277,1,910,Emerald Green Dark,#187E56
278,1,911,Emerald Green Medium,#189065
279,1,912,Emerald Green Light,#1B9D6B
280,1,913,Nile Green Medium,#6DAB77
281,1,915,Plum Dark,#820043
282,1,917,Plum Medium,#9B1359
283,1,918,Red Copper Dark,#82340A
284,1,919,Red Copper,#A64510
285,1,920,Copper Medium,#AC5414
286,1,921,Copper,#C66218
287,1,922,Copper Light,#E27323
288,1,924,Gray Green Vy Dark,#566A6A
289,1,926,Gray Green Medium,#98AEAE
290,1,927,Gray Green Light,#BDCBCB
291,1,928,Gray Green Very Light,#DDE3E3
292,1,930,Antique Blue Dark,#455C71
293,1,931,Antique Blue Medium,#6A859E
294,1,932,Antique Blue Light,#A2B5C6
295,1,934,Avocado Grn Black,#313919
296,1,935,Avocado Green Dark,#424D21
297,1,936,Avocado Green Very Dark,#4C5826
298,1,937,Avocado Green Medium,#627133
299,1,938,Coffee Brown Ultra Dark,#361F0E
300,1,939,Navy Blue Very Dark,#1B2853
301,1,943,Green Bright Medium,#3D9384
302,1,945,Tawny,#FBD5BB
303,1,946,Burnt Orange Medium,#EB6307
304,1,947,Burnt Orange,#FF7B4D
305,1,948,Peach Very Light,#FEE7DA
306,1,950,Desert Sand Light,#EED3C4
307,1,951,Tawny Light,#FFE2CF
308,1,954,Nile Green,#88BA91
309,1,955,Nile Green Light,#A2D6AD
310,1,956,Geranium,#FF9191
311,1,957,Geranium Pale,#FDB5B5
312,1,958,Sea Green Dark,#3EB6A1
313,1,959,Sea Green Medium,#59C7B4
314,1,961,Dusty Rose Dark,#CF7373
315,1,962,Dusty Rose Medium,#E68A8A
316,1,963,Dusty Rose Ultra Very Light,#FFD7D7
317,1,964,Sea Green Light,#A9E2D8
318,1,966,Jade Ultra Very Light,#B9D7C0
319,1,967,Apricot Very Light,#FFDED5
320,1,970,Pumpkin Light,#F78B13
321,1,972,Canary Deep,#FFB515
322,1,973,Canary Bright,#FFE300
323,1,975,Golden Brown Dark,#914F12
324,1,976,Golden Brown Medium,#C28142
325,1,977,Golden Brown Light,#DC9C56
326,1,986,Forest Green Very Dark,#405230
327,1,987,Forest Green Dark,#587141
328,1,988,Forest Green Medium,#738B5B
329,1,989,Forest Green ,#8DA675
330,1,991,Aquamarine Dark,#477B6E
331,1,992,Aquamarine Light,#6FAE9F
332,1,993,Aquamarine Very Light,#90C0B4
333,1,995,Electric Blue Dark,#2696B6
334,1,996,Electric Blue Medium,#30C2EC
335,1,3011,Khaki Green Dark,#898A58
336,1,3012,Khaki Green Medium,#A6A75D
337,1,3013,Khaki Green Light,#B9B982
338,1,3021,Brown Gray Very Dark,#4F4B41
339,1,3022,Brown Gray Medium,#8E9078
340,1,3023,Brown Gray Light,#B1AA97
341,1,3024,Brown Gray Very Light,#EBEAE7
342,1,3031,Mocha Brown Very Dark,#4B3C2A
343,1,3032,Mocha Brown Medium,#B39F8B
344,1,3033,Mocha Brown Very Light,#E3D8CC
345,1,3041,Antique Violet Medium,#956F7C
346,1,3042,Antique Violet Light,#B79DA7
347,1,3045,Yellow Beige Dark,#BC966A
348,1,3046,Yellow Beige Medium,#D8BC9A
349,1,3047,Yellow Beige Light,#E7D6C1
350,1,3051,Green Gray Dark,#5F6648
351,1,3052,Green Gray Medium,#889268
352,1,3053,Green Gray,#9CA482
353,1,3064,Desert Sand,#C48E70
354,1,3072,Beaver Gray Very Light,#E6E8E8
355,1,3078,Golden Yellow Very Light,#FDF9CD
356,1,3325,Baby Blue Light,#B8D2E6
357,1,3326,Rose Light,#FBADB4
358,1,3328,Salmon Dark,#E36D6D
359,1,3340,Apricot Medium,#FF836F
360,1,3341,Apricot,#FCAB98
361,1,3345,Hunter Green Dark,#1B5915
362,1,3346,Hunter Green,#406A3A
363,1,3347,Yellow Green Medium,#71935C
364,1,3348,Yellow Green Light,#CCD9B1
365,1,3350,Dusty Rose Ultra Dark,#BC4365
366,1,3354,Dusty Rose Light,#E4A6AC
367,1,3362,Pine Green Dark,#5E6B47
368,1,3363,Pine Green Medium,#728256
369,1,3364,Pine Green,#83975F
370,1,3371,Black Brown,#1E1108
371,1,3607,Plum Light,#C54989
372,1,3608,Plum Very Light,#EA9CC4
373,1,3609,Plum Ultra Light,#F4AED7
374,1,3685,Mauve Very Dark,#881531
375,1,3687,Mauve,#C96B70
376,1,3688,Mauve Medium,#E7A9AC
377,1,3689,Mauve Light,#FBBFC2
378,1,3705,Melon Dark,#FF7992
379,1,3706,Melon Medium,#FFADBC
380,1,3708,Melon Light,#FFCBD5
381,1,3712,Salmon Medium,#F18787
382,1,3713,Salmon Very Light,#FFE2E2
383,1,3716,Dusty Rose Medium Very Light,#FFBDBD
384,1,3721,Shell Pink Dark,#A14B51
385,1,3722,Shell Pink Medium,#BC6C64
386,1,3726,Antique Mauve Dark,#9B5B66
387,1,3727,Antique Mauve Light,#DBA9B2
388,1,3731,Dusty Rose Very Dark,#DA6783
389,1,3733,Dusty Rose,#E8879B
390,1,3740,Antique Violet Dark,#785762
391,1,3743,Antique Violet Very Light,#D7CBD3
392,1,3746,Blue Violet Dark,#776B98
393,1,3747,Blue Violet Very Light,#D3D7ED
394,1,3750,Antique Blue Very Dark,#384C5E
395,1,3752,Antique Blue Very Light,#C7D1DB
396,1,3753,Antique Blue Ultra Very Light,#DBE2E9
397,1,3755,Baby Blue,#92B4CE
398,1,3756,Baby Blue Ultra Very Light,#EEFCFC
399,1,3760,Wedgewood Medium,#3E85A2
400,1,3761,Sky Blue Light,#ACD8E2
401,1,3765,Peacock Blue Very Dark,#347F8C
402,1,3766,Peacock Blue Light,#99CFD9
403,1,3768,Gray Green Dark,#657F7F
404,1,3770,Tawny Vy Light,#FFEEE3
405,1,3771,Terra Cotta Ultra Very Light,#F4BBA9
406,1,3772,Desert Sand Very Dark,#A06C50
407,1,3774,Desert Sand Very Light,#F3E1D7
408,1,3776,Mahogany Light,#CF7939
409,1,3777,Terra Cotta Very Dark,#863022
410,1,3778,Terra Cotta Light,#D98978
411,1,3779,Rosewood Ultra Very Light,#F8CAC8
412,1,3781,Mocha Brown Dark,#6B5743
413,1,3782,Mocha Brown Light,#D2BCA6
414,1,3787,Brown Gray Dark,#625D50
415,1,3790,Beige Gray Ultra Dark,#7F6A55
416,1,3799,Pewter Gray Very Dark,#424242
417,1,3801,Melon Very Dark,#E74967
418,1,3802,Antique Mauve Very Darkv,#714149
419,1,3803,Mauve Dark,#AB3357
420,1,3804,Cyclamen Pink Dark,#E02876
421,1,3805,Cyclamen Pink,#F3478B
422,1,3806,Cyclamen Pink Light,#FF8CAE
423,1,3807,Cornflower Blue,#60678C
424,1,3808,Turquoise Ultra Very Dark,#366970
425,1,3809,Turquoise Vy Dark,#3F7C85
